data_collector,person_id,side,mkey,mvalue,,,,,,,,,
051a9911de7b5bbc610b76f4eda834a0,5d44a032652974c3e53644945a95b126,NA,height,69.5,,,,,,,,,
051a9911de7b5bbc610b76f4eda834a0,5d44a032652974c3e53644945a95b126,NA,head.height,7.5,,,,,,,,,
051a9911de7b5bbc610b76f4eda834a0,5d44a032652974c3e53644945a95b126,NA,head.circumference,21.8,,,,,,,,,
051a9911de7b5bbc610b76f4eda834a0,5d44a032652974c3e53644945a95b126,right,hand.length,7.7,,,,,,,,,
051a9911de7b5bbc610b76f4eda834a0,5d44a032652974c3e53644945a95b126,left,hand.length,8.0,,,,,,,,,
051a9911de7b5bbc610b76f4eda834a0,5d44a032652974c3e53644945a95b126,right,hand.width,8.8,,,,,,,,,
051a9911de7b5bbc610b76f4eda834a0,5d44a032652974c3e53644945a95b126,left,hand.width,9.0,,,,,,,,,
051a9911de7b5bbc610b76f4eda834a0,5d44a032652974c3e53644945a95b126,right,hand.elbow,18.9,,,,,,,,,
051a9911de7b5bbc610b76f4eda834a0,5d44a032652974c3e53644945a95b126,left,hand.elbow,17.3,,,,,,,,,
051a9911de7b5bbc610b76f4eda834a0,5d44a032652974c3e53644945a95b126,right,elbow.armpit,13.3,,,,,,,,,
051a9911de7b5bbc610b76f4eda834a0,5d44a032652974c3e53644945a95b126,left,elbow.armpit,9.3,,,,,,,,,
051a9911de7b5bbc610b76f4eda834a0,5d44a032652974c3e53644945a95b126,right,arm.reach,89.5,,,,,,,,,
051a9911de7b5bbc610b76f4eda834a0,5d44a032652974c3e53644945a95b126,left,arm.reach,90.1,,,,,,,,,
051a9911de7b5bbc610b76f4eda834a0,5d44a032652974c3e53644945a95b126,NA,arm.span,72.7,,,,,,,,,
051a9911de7b5bbc610b76f4eda834a0,5d44a032652974c3e53644945a95b126,right,foot.length,10.9,,,,,,,,,
051a9911de7b5bbc610b76f4eda834a0,5d44a032652974c3e53644945a95b126,left,foot.length,10.3,,,,,,,,,
051a9911de7b5bbc610b76f4eda834a0,5d44a032652974c3e53644945a95b126,right,floor.kneepit,21.1,,,,,,,,,
051a9911de7b5bbc610b76f4eda834a0,5d44a032652974c3e53644945a95b126,left,floor.kneepit,18.3,,,,,,,,,
051a9911de7b5bbc610b76f4eda834a0,5d44a032652974c3e53644945a95b126,right,floor.hip,42.3,,,,,,,,,
