#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A80071
#Date Time: 2019-03-02 08:47:40.163
#Sample rate: 800Hz
#Samples: 6340
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V

Time (s),Channel 1 (V)
-5,1.10794
-4.99875,1.67039
-4.9975,1.67039
-4.99625,1.67039
-4.995,1.67409
-4.99375,1.67409
-4.9925,1.67039
-4.99125,1.67039
-4.99,1.66669
-4.98875,1.66669
-4.9875,1.66669
-4.98625,1.65929
-4.985,1.66299
-4.98375,1.66669
-4.9825,1.66669
-4.98125,1.67039
-4.98,1.67409
-4.97875,1.67409
-4.9775,1.67409
-4.97625,1.67409
-4.975,1.67039
-4.97375,1.66669
-4.9725,1.66669
-4.97125,1.66669
-4.97,1.66299
-4.96875,1.66299
-4.9675,1.66669
-4.96625,1.67039
-4.965,1.67409
-4.96375,1.67409
-4.9625,1.67409
-4.96125,1.67409
-4.96,1.65189
-4.95875,1.66299
-4.9575,1.66669
-4.95625,1.66669
-4.955,1.66669
-4.95375,1.66299
-4.9525,1.66299
-4.95125,1.66299
-4.95,1.66669
-4.94875,1.67039
-4.9475,1.67039
-4.94625,1.67409
-4.945,1.67409
-4.94375,1.67409
-4.9425,1.67409
-4.94125,1.67039
-4.94,1.66669
-4.93875,1.66669
-4.9375,1.66669
-4.93625,1.66299
-4.935,1.66299
-4.93375,1.66669
-4.9325,1.67039
-4.93125,1.67039
-4.93,1.67039
-4.92875,1.67409
-4.9275,1.67779
-4.92625,1.67409
-4.925,1.67039
-4.92375,1.66669
-4.9225,1.66669
-4.92125,1.66669
-4.92,1.66299
-4.91875,1.66299
-4.9175,1.66669
-4.91625,1.67039
-4.915,1.67409
-4.91375,1.65929
-4.9125,1.65189
-4.91125,1.67779
-4.91,1.67409
-4.90875,1.67039
-4.9075,1.67039
-4.90625,1.66669
-4.905,1.66669
-4.90375,1.66299
-4.9025,1.65929
-4.90125,1.66299
-4.9,1.66669
-4.89875,1.67039
-4.8975,1.67039
-4.89625,1.67039
-4.895,1.67409
-4.89375,1.67409
-4.8925,1.67039
-4.89125,1.67039
-4.89,1.66669
-4.88875,1.66669
-4.8875,1.66669
-4.88625,1.66299
-4.885,1.66299
-4.88375,1.66669
-4.8825,1.67039
-4.88125,1.67039
-4.88,1.67409
-4.87875,1.67409
-4.8775,1.67409
-4.87625,1.67409
-4.875,1.67039
-4.87375,1.66669
-4.8725,1.66669
-4.87125,1.66669
-4.87,1.66299
-4.86875,1.66299
-4.8675,1.66669
-4.86625,1.64449
-4.865,1.65929
-4.86375,1.67039
-4.8625,1.67409
-4.86125,1.67779
-4.86,1.67409
-4.85875,1.67039
-4.8575,1.67039
-4.85625,1.66669
-4.855,1.66669
-4.85375,1.66299
-4.8525,1.65929
-4.85125,1.66299
-4.85,1.66669
-4.84875,1.67039
-4.8475,1.67039
-4.84625,1.67039
-4.845,1.67409
-4.84375,1.67409
-4.8425,1.67409
-4.84125,1.67039
-4.84,1.66669
-4.83875,1.66669
-4.8375,1.66669
-4.83625,1.65929
-4.835,1.66299
-4.83375,1.66669
-4.8325,1.67039
-4.83125,1.67039
-4.83,1.67039
-4.82875,1.67409
-4.8275,1.67779
