#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A80071
#Date Time: 2019-03-02 09:35:08.533
#Sample rate: 800Hz
#Samples: 6540
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V

Time (s),Channel 1 (V)
-5,0.249455
-4.99875,1.71109
-4.9975,1.71109
-4.99625,1.71479
-4.995,1.71109
-4.99375,1.71109
-4.9925,1.70739
-4.99125,1.70739
-4.99,1.70369
-4.98875,1.70369
-4.9875,1.69999
-4.98625,1.70369
-4.985,1.70739
-4.98375,1.70739
-4.9825,1.71109
-4.98125,1.71109
-4.98,1.71109
-4.97875,1.71109
-4.9775,1.71109
-4.97625,1.70739
-4.975,1.70739
-4.97375,1.70369
-4.9725,1.70369
-4.97125,1.69999
-4.97,1.69999
-4.96875,1.70739
-4.9675,1.70739
-4.96625,1.71109
-4.965,1.71109
-4.96375,1.71109
-4.9625,1.71479
-4.96125,1.71479
-4.96,1.71479
-4.95875,1.71479
-4.9575,1.71109
-4.95625,1.71109
-4.955,1.65929
-4.95375,1.67779
-4.9525,1.70369
-4.95125,1.70739
-4.95,1.70739
-4.94875,1.71109
-4.9475,1.71109
-4.94625,1.71109
-4.945,1.71109
-4.94375,1.70739
-4.9425,1.70739
-4.94125,1.70369
-4.94,1.70369
-4.93875,1.69999
-4.9375,1.69999
-4.93625,1.70369
-4.935,1.70369
-4.93375,1.70739
-4.9325,1.71109
-4.93125,1.71109
-4.93,1.71109
-4.92875,1.71479
-4.9275,1.71109
-4.92625,1.70739
-4.925,1.70739
-4.92375,1.70369
-4.9225,1.70369
-4.92125,1.69999
-4.92,1.70369
-4.91875,1.70369
-4.9175,1.70739
-4.91625,1.71109
-4.915,1.71109
-4.91375,1.71849
-4.9125,1.71849
-4.91125,1.71849
-4.91,1.71479
-4.90875,1.69629
-4.9075,1.66299
-4.90625,1.69999
-4.905,1.69999
-4.90375,1.69999
-4.9025,1.70369
-4.90125,1.70739
-4.9,1.70739
-4.89875,1.71109
-4.8975,1.71109
-4.89625,1.71109
-4.895,1.71109
-4.89375,1.70739
-4.8925,1.70739
-4.89125,1.70369
-4.89,1.70369
-4.88875,1.69999
-4.8875,1.69999
-4.88625,1.70369
-4.885,1.70739
-4.88375,1.70739
-4.8825,1.71109
-4.88125,1.71109
-4.88,1.71109
-4.87875,1.71109
-4.8775,1.71109
-4.87625,1.70739
-4.875,1.70739
-4.87375,1.70369
-4.8725,1.70369
-4.87125,1.69999
-4.87,1.70369
-4.86875,1.70369
-4.8675,1.71109
-4.86625,1.71479
-4.865,1.71849
-4.86375,1.71849
-4.8625,1.71849
-4.86125,1.68149
-4.86,1.67409
-4.85875,1.70739
-4.8575,1.70369
-4.85625,1.70369
-4.855,1.69999
-4.85375,1.69999
-4.8525,1.70369
-4.85125,1.70739
-4.85,1.70739
-4.84875,1.71109
-4.8475,1.71109
-4.84625,1.71109
-4.845,1.71109
-4.84375,1.71109
-4.8425,1.70739
-4.84125,1.70739
-4.84,1.70369
-4.83875,1.69999
-4.8375,1.69999
-4.83625,1.70369
-4.835,1.70739
-4.83375,1.70739
-4.8325,1.71109
-4.83125,1.71109
-4.83,1.71109
-4.82875,1.71479
-4.8275,1.71109
-4.82625,1.70739
-4.825,1.70739
-4.82375,1.70369
-4.8225,1.70369
-4.82125,1.69999
-4.82,1.70739
-4.81875,1.71109
-4.8175,1.71479
-4.81625,1.71479
-4.815,1.71109
-4.81375,1.66669
-4.8125,1.69999
-4.81125,1.71109
-4.81,1.70739
-4.80875,1.70739
-4.8075,1.70739
-4.80625,1.70369
-4.805,1.69999
-4.80375,1.69999
-4.8025,1.70369
-4.80125,1.70739
-4.8,1.70739
-4.79875,1.71109
-4.7975,1.71109
-4.79625,1.71479
-4.795,1.71109
-4.79375,1.70739
-4.7925,1.70739
-4.79125,1.70739
-4.79,1.70369
-4.78875,1.69999
-4.7875,1.69999
-4.78625,1.70369
-4.785,1.70739
-4.78375,1.70739
-4.7825,1.71109
-4.78125,1.71109
-4.78,1.71109
-4.77875,1.71479
-4.7775,1.71109
-4.77625,1.70739
-4.775,1.70739
-4.77375,1.70369
-4.7725,1.71109
-4.77125,1.70369
-4.77,1.70739
-4.76875,1.71109
-4.7675,1.68519
-4.76625,1.66669
-4.765,1.71479
-4.76375,1.71109
-4.7625,1.71479
-4.76125,1.71109
-4.76,1.70739
-4.75875,1.70739
-4.7575,1.70369
-4.75625,1.70369
-4.755,1.69999
-4.75375,1.69999
-4.7525,1.70369
-4.75125,1.70739
-4.75,1.70739
-4.74875,1.71109
-4.7475,1.71109
-4.74625,1.71479
-4.745,1.71109
-4.74375,1.70739
-4.7425,1.70739
-4.74125,1.70739
-4.74,1.70369
-4.73875,1.69999
-4.7375,1.69999
-4.73625,1.70369
-4.735,1.70739
-4.73375,1.70739
-4.7325,1.71109
-4.73125,1.71109
-4.73,1.71109
-4.72875,1.71109
-4.7275,1.71109
-4.72625,1.71109
-4.725,1.71479
-4.72375,1.71109
-4.7225,1.71109
-4.72125,1.70369
-4.72,1.66299
-4.71875,1.68519
-4.7175,1.70739
-4.71625,1.71109
-4.715,1.71109
-4.71375,1.71479
-4.7125,1.71479
-4.71125,1.71109
-4.71,1.70739
-4.70875,1.70739
-4.7075,1.70369
-4.70625,1.70369
-4.705,1.69999
-4.70375,1.69999
-4.7025,1.70369
-4.70125,1.70739
-4.7,1.70739
-4.69875,1.71109
-4.6975,1.71109
-4.69625,1.71479
-4.695,1.71479
-4.69375,1.71109
-4.6925,1.70739
-4.69125,1.70739
-4.69,1.70369
-4.68875,1.70369
-4.6875,1.69999
-4.68625,1.70369
-4.685,1.70739
-4.68375,1.70739
-4.6825,1.71109
-4.68125,1.71109
-4.68,1.71109
-4.67875,1.71849
-4.6775,1.71479
-4.67625,1.71479
-4.675,1.71479
-4.67375,1.69259
-4.6725,1.65929
-4.67125,1.69629
-4.67,1.69999
-4.66875,1.70369
-4.6675,1.70739
-4.66625,1.71109
-4.665,1.71109
-4.66375,1.71109
-4.6625,1.71479
-4.66125,1.71109
-4.66,1.70739
-4.65875,1.70739
-4.6575,1.70369
-4.65625,1.70369
-4.655,1.69999
-4.65375,1.69999
-4.6525,1.70369
-4.65125,1.70739
-4.65,1.70739
-4.64875,1.71109
-4.6475,1.71109
-4.64625,1.71479
-4.645,1.71109
-4.64375,1.70739
-4.6425,1.70739
-4.64125,1.70739
-4.64,1.70369
-4.63875,1.70369
-4.6375,1.69999
-4.63625,1.70369
-4.635,1.70739
-4.63375,1.70739
-4.6325,1.71479
-4.63125,1.71849
-4.63,1.71849
-4.62875,1.71849
-4.6275,1.71479
-4.62625,1.67409
-4.625,1.67409
-4.62375,1.70369
-4.6225,1.70369
-4.62125,1.69999
-4.62,1.70369
-4.61875,1.70369
-4.6175,1.70739
-4.61625,1.71109
-4.615,1.71109
-4.61375,1.71109
-4.6125,1.71479
-4.61125,1.71109
-4.61,1.70739
-4.60875,1.70739
-4.6075,1.70369
-4.60625,1.70369
-4.605,1.69999
-4.60375,1.69999
-4.6025,1.70369
-4.60125,1.70739
-4.6,1.70739
-4.59875,1.71109
-4.5975,1.71109
-4.59625,1.71479
-4.595,1.71109
-4.59375,1.71109
-4.5925,1.70739
-4.59125,1.70739
-4.59,1.70369
-4.58875,1.69999
-4.5875,1.69999
-4.58625,1.70369
-4.585,1.71109
-4.58375,1.71479
-4.5825,1.71849
-4.58125,1.71849
-4.58,1.71109
-4.57875,1.67039
-4.5775,1.69999
-4.57625,1.70739
-4.575,1.70739
-4.57375,1.70739
-4.5725,1.70369
-4.57125,1.69999
-4.57,1.70369
-4.56875,1.70739
-4.5675,1.70739
-4.56625,1.71109
-4.565,1.71109
-4.56375,1.71109
-4.5625,1.71479
-4.56125,1.71109
-4.56,1.70739
-4.55875,1.70739
-4.5575,1.70739
-4.55625,1.70369
-4.555,1.69999
-4.55375,1.69999
-4.5525,1.70369
-4.55125,1.70739
-4.55,1.70739
-4.54875,1.71109
-4.5475,1.71109
-4.54625,1.71479
-4.545,1.71109
-4.54375,1.71109
-4.5425,1.70739
-4.54125,1.70739
-4.54,1.70369
-4.53875,1.70369
-4.5375,1.70739
-4.53625,1.71109
-4.535,1.71109
