#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A80071
#Date Time: 2019-03-02 12:18:47.902
#Sample rate: 400Hz
#Samples: 6467
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: -1.65 V

Time (s),Channel 1 (V)
-11.4,1.67734
-11.3975,1.69319
-11.395,1.69858
-11.3925,1.70431
-11.39,1.70836
-11.3875,1.70802
-11.385,1.7006
-11.3825,1.69723
-11.38,1.69285
-11.3775,1.70094
-11.375,1.70532
-11.3725,1.71004
-11.37,1.70499
-11.3675,1.70128
-11.365,1.69723
-11.3625,1.68611
-11.36,1.7006
-11.3575,1.70634
-11.355,1.71038
-11.3525,1.70263
-11.35,1.69825
-11.3475,1.69319
-11.345,1.69825
-11.3425,1.70431
-11.34,1.70836
-11.3375,1.70802
-11.335,1.70094
-11.3325,1.69723
-11.33,1.69285
-11.3275,1.70094
-11.325,1.70532
-11.3225,1.71038
-11.32,1.70735
-11.3175,1.70128
-11.315,1.68308
-11.3125,1.69521
-11.31,1.70296
-11.3075,1.70634
-11.305,1.71038
-11.3025,1.70229
-11.3,1.69825
-11.2975,1.69319
-11.295,1.69825
-11.2925,1.70398
-11.29,1.70836
-11.2875,1.70802
-11.285,1.70094
-11.2825,1.69723
-11.28,1.69285
-11.2775,1.70094
-11.275,1.706
-11.2725,1.71207
-11.27,1.70667
-11.2675,1.68847
-11.265,1.69487
-11.2625,1.69521
-11.26,1.70263
-11.2575,1.70634
-11.255,1.71038
-11.2525,1.70229
-11.25,1.69825
-11.2475,1.69319
-11.245,1.69825
-11.2425,1.70431
-11.24,1.70802
-11.2375,1.70802
-11.235,1.70094
-11.2325,1.69723
-11.23,1.69251
-11.2275,1.70229
-11.225,1.70735
-11.2225,1.70701
-11.22,1.69825
-11.2175,1.69926
-11.215,1.69521
-11.2125,1.69521
-11.21,1.70263
-11.2075,1.706
-11.205,1.71038
-11.2025,1.70229
-11.2,1.69825
-11.1975,1.69319
-11.195,1.69825
-11.1925,1.70398
-11.19,1.70802
-11.1875,1.70836
-11.185,1.70094
-11.1825,1.69723
-11.18,1.6942
-11.1775,1.70296
-11.175,1.69892
-11.1725,1.70566
-11.17,1.70532
-11.1675,1.69926
-11.165,1.69521
-11.1625,1.69487
-11.16,1.70263
-11.1575,1.70634
-11.155,1.71038
-11.1525,1.70229
-11.15,1.69825
-11.1475,1.69353
-11.145,1.69791
-11.1425,1.70398
-11.14,1.70802
-11.1375,1.70836
-11.135,1.7006
-11.1325,1.69959
-11.13,1.69487
-11.1275,1.69049
-11.125,1.70431
-11.1225,1.71004
-11.12,1.70566
-11.1175,1.69959
-11.115,1.69521
-11.1125,1.69521
-11.11,1.70263
-11.1075,1.706
-11.105,1.71038
-11.1025,1.70263
-11.1,1.69825
-11.0975,1.69353
-11.095,1.69791
-11.0925,1.70431
-11.09,1.70802
-11.0875,1.7087
-11.085,1.70296
-11.0825,1.69959
-11.08,1.68072
-11.0775,1.70094
-11.075,1.70532
-11.0725,1.70971
-11.07,1.70566
-11.0675,1.69926
-11.065,1.69521
-11.0625,1.69487
-11.06,1.70263
-11.0575,1.706
-11.055,1.71038
-11.0525,1.70263
-11.05,1.69825
-11.0475,1.69386
-11.045,1.69757
-11.0425,1.70431
-11.04,1.70903
-11.0375,1.71072
-11.035,1.70162
-11.0325,1.68746
-11.03,1.69251
-11.0275,1.70094
-11.025,1.70532
-11.0225,1.70937
-11.02,1.706
-11.0175,1.69959
-11.015,1.69521
-11.0125,1.69487
-11.01,1.70263
-11.0075,1.706
-11.005,1.71072
-11.0025,1.70263
-11,1.69858
-10.9975,1.69386
-10.995,1.69757
-10.9925,1.70532
-10.99,1.71004
-10.9875,1.70499
-10.985,1.69454
-10.9825,1.69757
-10.98,1.69251
-10.9775,1.70094
-10.975,1.70532
-10.9725,1.70937
-10.97,1.706
-10.9675,1.69926
-10.965,1.69555
-10.9625,1.69487
-10.96,1.70263
-10.9575,1.706
-10.955,1.71038
-10.9525,1.70296
-10.95,1.69858
-10.9475,1.69386
-10.945,1.69926
-10.9425,1.70634
-10.94,1.7006
-10.9375,1.70465
-10.935,1.70094
-10.9325,1.69757
-10.93,1.69251
-10.9275,1.7006
-10.925,1.70532
-10.9225,1.70937
-10.92,1.706
-10.9175,1.69959
-10.915,1.69555
-10.9125,1.69487
-10.91,1.70263
-10.9075,1.706
-10.905,1.71072
-10.9025,1.70296
-10.9,1.69858
-10.8975,1.69589
-10.895,1.69993
-10.8925,1.69353
-10.89,1.70701
-10.8875,1.7087
-10.885,1.70128
-10.8825,1.69791
-10.88,1.69251
-10.8775,1.7006
-10.875,1.70532
-10.8725,1.70971
-10.87,1.706
-10.8675,1.69959
-10.865,1.69555
-10.8625,1.69487
-10.86,1.70263
-10.8575,1.706
-10.855,1.71072
-10.8525,1.70364
-10.85,1.7006
-10.8475,1.69589
-10.845,1.68678
-10.8425,1.70398
-10.84,1.70836
-10.8375,1.7087
-10.835,1.70128
-10.8325,1.69757
-10.83,1.69251
-10.8275,1.7006
-10.825,1.70532
-10.8225,1.70971
-10.82,1.706
-10.8175,1.69959
-10.815,1.69555
-10.8125,1.69487
-10.81,1.70263
-10.8075,1.706
-10.805,1.71173
-10.8025,1.70532
-10.8,1.69791
-10.7975,1.68476
-10.795,1.69757
-10.7925,1.70398
-10.79,1.70802
-10.7875,1.7087
-10.785,1.70128
-10.7825,1.69757
-10.78,1.69251
-10.7775,1.70027
-10.775,1.70499
-10.7725,1.70971
-10.77,1.706
-10.7675,1.69959
-10.765,1.69555
-10.7625,1.69487
-10.76,1.70229
-10.7575,1.70735
-10.755,1.71274
-10.7525,1.69892
-10.75,1.69184
-10.7475,1.69386
-10.745,1.69757
-10.7425,1.70398
-10.74,1.70802
-10.7375,1.7087
-10.735,1.70128
-10.7325,1.69791
-10.73,1.69251
-10.7275,1.7006
-10.725,1.70499
-10.7225,1.70971
-10.72,1.706
-10.7175,1.69993
-10.715,1.69589
-10.7125,1.69454
-10.71,1.70431
-10.7075,1.70802
-10.705,1.70263
-10.7025,1.69993
-10.7,1.69858
-10.6975,1.69386
-10.695,1.69757
-10.6925,1.70398
-10.69,1.70768
-10.6875,1.70903
-10.685,1.70128
-10.6825,1.69791
-10.68,1.69251
-10.6775,1.7006
-10.675,1.70499
-10.6725,1.70937
-10.67,1.70634
-10.6675,1.69959
-10.665,1.69589
-10.6625,1.6969
-10.66,1.70465
-10.6575,1.69454
-10.655,1.71105
-10.6525,1.7033
-10.65,1.69858
-10.6475,1.69386
-10.645,1.69757
-10.6425,1.70398
-10.64,1.70802
-10.6375,1.70903
-10.635,1.70128
-10.6325,1.69791
-10.63,1.69251
-10.6275,1.7006
-10.625,1.70499
-10.6225,1.70971
-10.62,1.706
-10.6175,1.70027
-10.615,1.69791
-10.6125,1.69656
-10.61,1.69117
-10.6075,1.70566
-10.605,1.71105
-10.6025,1.70296
-10.6,1.69858
-10.5975,1.69386
-10.595,1.69757
-10.5925,1.70398
-10.59,1.70768
-10.5875,1.7087
-10.585,1.70128
-10.5825,1.69791
-10.58,1.69251
-10.5775,1.7006
-10.575,1.70532
-10.5725,1.70937
-10.57,1.70735
-10.5675,1.70195
-10.565,1.6942
-10.5625,1.68577
-10.56,1.70229
-10.5575,1.706
-10.555,1.71072
-10.5525,1.70296
-10.55,1.69858
-10.5475,1.69386
-10.545,1.69723
-10.5425,1.70364
-10.54,1.70768
-10.5375,1.70903
-10.535,1.70128
-10.5325,1.69757
-10.53,1.69251
-10.5275,1.70027
-10.525,1.70499
-10.5225,1.71105
-10.52,1.70836
-10.5175,1.6942
-10.515,1.69117
-10.5125,1.69454
-10.51,1.70229
-10.5075,1.706
-10.505,1.71072
-10.5025,1.7033
-10.5,1.69858
-10.4975,1.69386
-10.495,1.69723
-10.4925,1.70364
-10.49,1.70768
-10.4875,1.70903
-10.485,1.70128
-10.4825,1.69791
-10.48,1.69251
-10.4775,1.70027
-10.475,1.70701
-10.4725,1.71139
-10.47,1.69723
-10.4675,1.69791
-10.465,1.69589
-10.4625,1.69454
-10.46,1.70229
-10.4575,1.70566
-10.455,1.71072
-10.4525,1.7033
-10.45,1.69858
-10.4475,1.69386
-10.445,1.69723
-10.4425,1.70398
-10.44,1.70768
-10.4375,1.70903
-10.435,1.70128
-10.4325,1.69791
-10.43,1.69285
-10.4275,1.70229
-10.425,1.70701
-10.4225,1.69723
-10.42,1.70667
-10.4175,1.69993
-10.415,1.69589
-10.4125,1.6942
-10.41,1.70229
-10.4075,1.706
-10.405,1.71072
-10.4025,1.7033
-10.4,1.69858
-10.3975,1.69386
-10.395,1.69723
-10.3925,1.70398
-10.39,1.70768
-10.3875,1.70937
-10.385,1.70128
-10.3825,1.69858
-10.38,1.69487
-10.3775,1.70128
-10.375,1.69386
-10.3725,1.70937
-10.37,1.70667
-10.3675,1.69993
-10.365,1.69589
-10.3625,1.6942
-10.36,1.70229
-10.3575,1.70566
-10.355,1.71072
-10.3525,1.7033
-10.35,1.69892
-10.3475,1.69386
-10.345,1.69723
-10.3425,1.70398
-10.34,1.70768
-10.3375,1.70903
-10.335,1.70263
-10.3325,1.69993
-10.33,1.69049
-10.3275,1.69251
-10.325,1.70499
-10.3225,1.70937
-10.32,1.70634
-10.3175,1.69993
-10.315,1.69589
-10.3125,1.6942
-10.31,1.70195
-10.3075,1.70566
-10.305,1.71072
-10.3025,1.7033
-10.3,1.69858
-10.2975,1.69386
-10.295,1.69723
-10.2925,1.70364
-10.29,1.70768
-10.2875,1.71072
-10.285,1.70364
-10.2825,1.6915
-10.28,1.68779
-10.2775,1.70027
-10.275,1.70499
-10.2725,1.70937
-10.27,1.70634
-10.2675,1.69993
-10.265,1.69589
-10.2625,1.69386
-10.26,1.70195
-10.2575,1.70566
-10.255,1.71072
-10.2525,1.7033
-10.25,1.69858
-10.2475,1.6942
-10.245,1.6969
-10.2425,1.70364
-10.24,1.70937
-10.2375,1.71105
-10.235,1.69083
-10.2325,1.69656
-10.23,1.69251
-10.2275,1.69993
-10.225,1.70499
-10.2225,1.70903
-10.22,1.70634
-10.2175,1.69993
-10.215,1.69555
-10.2125,1.69386
-10.21,1.70195
-10.2075,1.70566
-10.205,1.71038
-10.2025,1.7033
-10.2,1.69858
-10.1975,1.69386
-10.195,1.69723
-10.1925,1.70566
-10.19,1.70937
-10.1875,1.69723
-10.185,1.70128
-10.1825,1.69791
-10.18,1.69251
-10.1775,1.69993
-10.175,1.70465
-10.1725,1.70903
-10.17,1.70634
-10.1675,1.69959
-10.165,1.69555
-10.1625,1.69386
-10.16,1.70162
-10.1575,1.70532
-10.155,1.71004
-10.1525,1.7033
-10.15,1.69858
-10.1475,1.69487
-10.145,1.69892
-10.1425,1.70364
-10.14,1.69757
-10.1375,1.70903
-10.135,1.70162
-10.1325,1.69791
-10.13,1.69251
-10.1275,1.69959
-10.125,1.70465
-10.1225,1.70903
-10.12,1.70634
-10.1175,1.69959
-10.115,1.69589
-10.1125,1.69386
-10.11,1.70195
-10.1075,1.70566
-10.105,1.71038
-10.1025,1.7033
-10.1,1.69993
-10.0975,1.69622
-10.095,1.69285
-10.0925,1.69723
-10.09,1.70735
-10.0875,1.70937
-10.085,1.70128
-10.0825,1.69791
-10.08,1.69251
-10.0775,1.69959
-10.075,1.70465
-10.0725,1.70903
-10.07,1.70634
-10.0675,1.69959
-10.065,1.69589
-10.0625,1.69353
-10.06,1.70195
-10.0575,1.70566
-10.055,1.71038
-10.0525,1.70532
-10.05,1.70094
-10.0475,1.68712
-10.045,1.69319
-10.0425,1.7033
-10.04,1.70735
-10.0375,1.70903
-10.035,1.70128
-10.0325,1.69757
-10.03,1.69251
-10.0275,1.69959
-10.025,1.70465
-10.0225,1.70903
-10.02,1.70667
-10.0175,1.69993
-10.015,1.69589
-10.0125,1.69386
-10.01,1.70162
-10.0075,1.70566
-10.005,1.7124
-10.0025,1.70566
-10,1.68746
-9.9975,1.6942
-9.995,1.69656
-9.9925,1.7033
-9.99,1.70701
-9.9875,1.70903
-9.985,1.70128
-9.9825,1.69757
-9.98,1.69251
-9.9775,1.69926
-9.975,1.70431
-9.9725,1.7087
-9.97,1.70667
-9.9675,1.69959
-9.965,1.69589
-9.9625,1.69353
-9.96,1.70195
-9.9575,1.70735
-9.955,1.71207
-9.9525,1.69218
-9.95,1.69858
-9.9475,1.69386
-9.945,1.69622
-9.9425,1.7033
-9.94,1.70701
-9.9375,1.70903
-9.935,1.70128
-9.9325,1.69757
-9.93,1.69251
-9.9275,1.69926
-9.925,1.70465
-9.9225,1.7087
-9.92,1.70667
-9.9175,1.69993
-9.915,1.69589
-9.9125,1.6942
-9.91,1.70364
-9.9075,1.70431
-9.905,1.70128
-9.9025,1.70364
-9.9,1.69858
-9.8975,1.69386
-9.895,1.69622
-9.8925,1.7033
-9.89,1.70701
-9.8875,1.70937
-9.885,1.70128
-9.8825,1.69757
-9.88,1.69251
-9.8775,1.69926
-9.875,1.70431
-9.8725,1.7087
-9.87,1.70667
-9.8675,1.69959
-9.865,1.69757
-9.8625,1.69555
-9.86,1.69723
-9.8575,1.69892
-9.855,1.71004
-9.8525,1.70364
-9.85,1.69858
-9.8475,1.6942
-9.845,1.69622
-9.8425,1.7033
-9.84,1.70701
-9.8375,1.70937
-9.835,1.70128
-9.8325,1.69757
-9.83,1.69251
-9.8275,1.69926
-9.825,1.70431
-9.8225,1.7087
-9.82,1.70667
-9.8175,1.70162
-9.815,1.69825
-9.8125,1.6851
-9.81,1.69892
-9.8075,1.70566
-9.805,1.71038
-9.8025,1.70364
-9.8,1.69858
-9.7975,1.6942
-9.795,1.69622
-9.7925,1.7033
-9.79,1.70701
-9.7875,1.70937
-9.785,1.70162
-9.7825,1.69757
-9.78,1.69251
-9.7775,1.69926
-9.775,1.70431
-9.7725,1.70903
-9.77,1.70903
-9.7675,1.70195
-9.765,1.68476
-9.7625,1.69353
-9.76,1.70162
-9.7575,1.70532
-9.755,1.71004
-9.7525,1.70364
-9.75,1.69858
-9.7475,1.69386
-9.745,1.69589
-9.7425,1.70296
-9.74,1.70667
-9.7375,1.70937
-9.735,1.70162
-9.7325,1.69757
-9.73,1.69251
-9.7275,1.69926
-9.725,1.70499
-9.7225,1.71072
-9.72,1.70836
-9.7175,1.68813
-9.715,1.69589
-9.7125,1.69353
-9.71,1.70162
-9.7075,1.70532
-9.705,1.71004
-9.7025,1.70398
-9.7,1.69858
-9.6975,1.6942
-9.695,1.69589
-9.6925,1.70296
-9.69,1.70667
-9.6875,1.70937
-9.685,1.70162
-9.6825,1.69791
-9.68,1.69251
-9.6775,1.70027
-9.675,1.70634
-9.6725,1.70667
-9.67,1.69825
-9.6675,1.69993
-9.665,1.69622
-9.6625,1.69319
-9.66,1.70162
-9.6575,1.70532
-9.655,1.71004
-9.6525,1.70398
-9.65,1.69858
-9.6475,1.6942
-9.645,1.69622
-9.6425,1.70296
-9.64,1.70667
-9.6375,1.70937
-9.635,1.70162
-9.6325,1.69757
-9.63,1.6942
-9.6275,1.70128
-9.625,1.69858
-9.6225,1.70431
