#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A80071
#Date Time: 2019-03-02 17:15:15.389
#Sample rate: 400Hz
#Samples: 7430
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: -1.65 V

Time (s),Channel 1 (V)
-11.4,1.6133
-11.3975,1.60858
-11.395,1.60655
-11.3925,1.60891
-11.39,1.6133
-11.3875,1.61599
-11.385,1.61599
-11.3825,1.61094
-11.38,1.60858
-11.3775,1.60588
-11.375,1.6106
-11.3725,1.61464
-11.37,1.61667
-11.3675,1.61464
-11.365,1.60925
-11.3625,1.60757
-11.36,1.60689
-11.3575,1.61229
-11.355,1.61431
-11.3525,1.61768
-11.35,1.61229
-11.3475,1.60858
-11.345,1.60588
-11.3425,1.60858
-11.34,1.61363
-11.3375,1.61566
-11.335,1.61633
-11.3325,1.6106
-11.33,1.6079
-11.3275,1.60554
-11.325,1.61094
-11.3225,1.61464
-11.32,1.617
-11.3175,1.61397
-11.315,1.60925
-11.3125,1.60723
-11.31,1.60655
-11.3075,1.61161
-11.305,1.61464
-11.3025,1.617
-11.3,1.61229
-11.2975,1.60858
-11.295,1.60622
-11.2925,1.60858
-11.29,1.61296
-11.2875,1.61599
-11.285,1.61633
-11.2825,1.61161
-11.28,1.60824
-11.2775,1.60521
-11.275,1.6106
-11.2725,1.61431
-11.27,1.61667
-11.2675,1.61498
-11.265,1.60925
-11.2625,1.60757
-11.26,1.60622
-11.2575,1.61229
-11.255,1.61498
-11.2525,1.61734
-11.25,1.61229
-11.2475,1.60858
-11.245,1.60655
-11.2425,1.60858
-11.24,1.61363
-11.2375,1.61498
-11.235,1.61498
-11.2325,1.61026
-11.23,1.60723
-11.2275,1.60453
-11.225,1.60993
-11.2225,1.61296
-11.22,1.61566
-11.2175,1.6133
-11.215,1.60891
-11.2125,1.60655
-11.21,1.60622
-11.2075,1.61127
-11.205,1.61431
-11.2025,1.61734
-11.2,1.61195
-11.1975,1.6079
-11.195,1.60622
-11.1925,1.6079
-11.19,1.61363
-11.1875,1.61633
-11.185,1.61667
-11.1825,1.6106
-11.18,1.60824
-11.1775,1.60588
-11.175,1.61127
-11.1725,1.61464
-11.17,1.617
-11.1675,1.61464
-11.165,1.60925
-11.1625,1.60723
-11.16,1.60689
-11.1575,1.61229
-11.155,1.61532
-11.1525,1.617
-11.15,1.61262
-11.1475,1.60858
-11.145,1.60689
-11.1425,1.60858
-11.14,1.6133
-11.1375,1.61532
-11.135,1.61599
-11.1325,1.61094
-11.13,1.60858
-11.1275,1.60588
-11.125,1.6106
-11.1225,1.61431
-11.12,1.617
-11.1175,1.61464
-11.115,1.60959
-11.1125,1.60757
-11.11,1.60689
-11.1075,1.61195
-11.105,1.61464
-11.1025,1.61768
-11.1,1.61262
-11.0975,1.60858
-11.095,1.60655
-11.0925,1.6079
-11.09,1.61363
-11.0875,1.61566
-11.085,1.61633
-11.0825,1.61127
-11.08,1.6079
-11.0775,1.60521
-11.075,1.61026
-11.0725,1.61464
-11.07,1.61667
-11.0675,1.61431
-11.065,1.60925
-11.0625,1.60655
-11.06,1.60655
-11.0575,1.61195
-11.055,1.61498
-11.0525,1.617
-11.05,1.61195
-11.0475,1.60824
-11.045,1.60554
-11.0425,1.60824
-11.04,1.6133
-11.0375,1.61566
-11.035,1.61633
-11.0325,1.6106
-11.03,1.60757
-11.0275,1.60521
