#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A80071
#Date Time: 2019-03-02 12:19:27.780
#Sample rate: 400Hz
#Samples: 2700
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: -1.65 V

Time (s),Channel 1 (V)
-11.4,1.7269
-11.3975,1.73971
-11.395,1.74746
-11.3925,1.75184
-11.39,1.75589
-11.3875,1.75589
-11.385,1.74982
-11.3825,1.72724
-11.38,1.74106
-11.3775,1.74915
-11.375,1.75252
-11.3725,1.75656
-11.37,1.74982
-11.3675,1.74578
-11.365,1.74072
-11.3625,1.74443
-11.36,1.7505
-11.3575,1.7542
-11.355,1.75488
-11.3525,1.74814
-11.35,1.74476
-11.3475,1.73971
-11.345,1.74712
-11.3425,1.75252
-11.34,1.75859
-11.3375,1.75555
-11.335,1.73094
-11.3325,1.74274
-11.33,1.74207
-11.3275,1.74915
-11.325,1.75252
-11.3225,1.75656
-11.32,1.74982
-11.3175,1.74578
-11.315,1.74072
-11.3125,1.74443
-11.31,1.7505
-11.3075,1.75387
-11.305,1.75488
-11.3025,1.74814
-11.3,1.7451
-11.2975,1.73971
-11.295,1.74847
-11.2925,1.75488
-11.29,1.75521
-11.2875,1.73937
-11.285,1.74679
-11.2825,1.74308
-11.28,1.74173
-11.2775,1.74915
-11.275,1.75218
-11.2725,1.75656
-11.27,1.74982
-11.2675,1.74578
-11.265,1.74072
-11.2625,1.74443
-11.26,1.7505
-11.2575,1.75387
-11.255,1.75488
-11.2525,1.74814
-11.25,1.74476
-11.2475,1.74173
-11.245,1.75016
-11.2425,1.74544
-11.24,1.74746
-11.2375,1.75252
-11.235,1.74679
-11.2325,1.74274
-11.23,1.74173
-11.2275,1.74881
-11.225,1.75218
-11.2225,1.75623
-11.22,1.74948
-11.2175,1.74544
-11.215,1.74106
-11.2125,1.74443
-11.21,1.75016
-11.2075,1.7542
-11.205,1.75488
-11.2025,1.7478
-11.2,1.74712
-11.1975,1.74274
-11.195,1.73533
-11.1925,1.74847
-11.19,1.75521
-11.1875,1.75252
-11.185,1.74679
-11.1825,1.74274
-11.18,1.74173
-11.1775,1.74881
-11.175,1.75218
-11.1725,1.75623
-11.17,1.74948
-11.1675,1.74544
-11.165,1.74072
-11.1625,1.74409
-11.16,1.7505
-11.1575,1.75387
-11.155,1.75488
-11.1525,1.75117
-11.15,1.7478
-11.1475,1.72252
-11.145,1.74746
-11.1425,1.75151
-11.14,1.75521
-11.1375,1.75252
-11.135,1.74645
-11.1325,1.74274
-11.13,1.74139
-11.1275,1.74881
-11.125,1.75218
-11.1225,1.75623
-11.12,1.74948
-11.1175,1.74544
-11.115,1.74072
-11.1125,1.74443
-11.11,1.75016
-11.1075,1.75488
-11.105,1.75791
-11.1025,1.7505
-11.1,1.72892
-11.0975,1.73903
-11.095,1.74712
-11.0925,1.75117
-11.09,1.75488
-11.0875,1.75218
-11.085,1.74645
-11.0825,1.7424
-11.08,1.74106
-11.0775,1.74847
-11.075,1.75184
-11.0725,1.75623
-11.07,1.74948
-11.0675,1.74544
-11.065,1.74072
-11.0625,1.74375
-11.06,1.75151
-11.0575,1.75656
-11.055,1.75184
-11.0525,1.736
-11.05,1.74443
-11.0475,1.73971
-11.045,1.74679
-11.0425,1.75117
-11.04,1.75488
-11.0375,1.75218
-11.035,1.74645
-11.0325,1.7424
-11.03,1.74106
-11.0275,1.74847
-11.025,1.75184
-11.0225,1.75589
-11.02,1.74982
-11.0175,1.74544
-11.015,1.74072
-11.0125,1.74611
-11.01,1.75319
-11.0075,1.74578
-11.005,1.74814
-11.0025,1.7478
-11,1.74476
-10.9975,1.73971
-10.995,1.74645
-10.9925,1.75117
-10.99,1.75488
-10.9875,1.75218
-10.985,1.74645
-10.9825,1.7424
-10.98,1.74106
-10.9775,1.74847
-10.975,1.75184
-10.9725,1.75623
-10.97,1.74982
-10.9675,1.74544
-10.965,1.74375
-10.9625,1.74712
-10.96,1.73667
-10.9575,1.75083
-10.955,1.75488
-10.9525,1.74814
-10.95,1.74476
-10.9475,1.73971
-10.945,1.74645
-10.9425,1.75117
-10.94,1.75488
-10.9375,1.75218
-10.935,1.74645
-10.9325,1.7424
-10.93,1.74106
-10.9275,1.74814
-10.925,1.75218
-10.9225,1.75623
-10.92,1.75016
-10.9175,1.74847
-10.915,1.74375
-10.9125,1.7269
-10.91,1.75016
-10.9075,1.75353
-10.905,1.75488
-10.9025,1.7478
-10.9,1.74443
-10.8975,1.73937
-10.895,1.74645
-10.8925,1.75083
-10.89,1.75488
-10.8875,1.75218
-10.885,1.74645
-10.8825,1.7424
-10.88,1.74106
-10.8775,1.74847
-10.875,1.75184
-10.8725,1.75724
-10.87,1.75285
-10.8675,1.74611
-10.865,1.72656
-10.8625,1.74375
-10.86,1.74982
-10.8575,1.75319
-10.855,1.75454
-10.8525,1.7478
-10.85,1.74443
-10.8475,1.73903
-10.845,1.74611
-10.8425,1.75083
-10.84,1.75454
-10.8375,1.75218
